      WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
8.5,Landal Najaarsspecial - Design Deel 2,30-07-12 09:00,31-07-12 15:24,1d 6h 24m,3d 4h 48m,0%,,Martijn; Vincent,,,,,30-07-12 09:00,,56,,0,,
8.6,Landal Najaarsspecial - Feedback deel 2,02-08-12 09:00,02-08-12 09:00,0s,0s,0%,,Caspar; Martijn,,,,,02-08-12 09:00,,57,,0,,
8.7,Landal Najaarsspecial - Design Deel 3,03-08-12 09:00,07-08-12 15:04,2d 6h 4m 48s,1w 1d 7h 12m,0%,,Caspar {50% of 100%}; Martijn; Vincent,,,,,03-08-12 09:00,,58,,0,,
8.8,Landal Najaarsspecial - Feedback deel 3,10-08-12 09:00,10-08-12 09:00,0s,0s,0%,,Caspar; Martijn,,,,,10-08-12 09:00,,59,,0,,
8.9,Landal Najaarsspecial - Aanlevering Quiz content,01-08-12 09:00,01-08-12 09:00,0s,0s,0%,,Caspar; Martijn,,,,,01-08-12 09:00,,,,0,,
8.10,Landal Najaarsspecial - Quiz Design,02-08-12 09:00,03-08-12 10:36,1d 1h 36m,7h 12m,0%,,Caspar {25% of 100%}; Martijn {25% of 100%}; Vincent {25% of 100%},,,,,02-08-12 09:00,,61,,0,,
8.11,Landal Najaarsspecial - Quiz Bouw,13-08-12 09:00,13-08-12 16:12,7h 12m,7h 12m,0%,,Leon {50% of 100%}; Mark {50% of 80%},,,,,06-08-12 09:00,,62,,0,,
8.12,Landal Najaarsspecial - Bouw MagStream Deel 1,10-08-12 09:00,17-08-12 12:12,1w 3h 12m,2w 6h 24m,0%,,Martijn; Caspar,,,,,10-08-12 09:00,,60,,0,,
8.13,Landal Najaarsspecial - Bouw MagStream Deel 1,14-08-12 09:00,14-08-12 17:00,1d,1d,0%,,Maarten,,,,,14-08-12 09:00,,,,0,,
8.14,Landal Najaarsspecial - Feedback bouw deel 1,22-08-12 09:00,22-08-12 09:00,0s,0s,0%,,Martijn; Caspar,,,,,22-08-12 09:00,,64FF,,0,,
8.15,Landal Najaarsspecial - Bouw MagStream Deel 2,22-08-12 09:00,24-08-12 14:36,2d 5h 36m,1w 3h 12m,0%,,Martijn; Caspar,,,,,22-08-12 09:00,,66,,0,,
8.16,Landal Najaarsspecial - Feedback bouw deel 2,28-08-12 09:00,28-08-12 09:00,0s,0s,0%,,Martijn; Caspar,,,,,28-08-12 09:00,,67,,0,,
8.17,Landal Najaarsspecial - Bouw MagStream Deel 3,28-08-12 09:00,28-08-12 15:24,6h 24m,6h 24m,0%,,Martijn,,,,,28-08-12 09:00,,68,,0,,
8.18,Landal Najaarsspecial - Feedback bouw deel 3,31-08-12 09:00,31-08-12 09:00,0s,0s,100%,,Martijn; Caspar,,,,,31-08-12 09:00,,69FF,,0,,
8.19,Landal Najaarsspecial - iPad Release testen,03-09-12 09:00,03-09-12 15:24,6h 24m,38m 24s,0%,,Martijn {10% of 100%},,,,,03-09-12 09:00,,70,,0,,
8.20,Landal Najaarsspecial - Testen op Live Link,06-09-12 09:00,06-09-12 15:24,6h 24m,38m 24s,0%,,Martijn {10% of 100%},,,,,06-09-12 09:00,,71,,0,,
9,Landal Kidsspecial BE ,10-08-12 09:00,31-08-12 17:00,3w 1d,4d,0%,,,,,,,10-08-12 09:00,,,,,,
9.1,Landal Kidsspecial BE - Aanlevering,10-08-12 09:00,10-08-12 09:00,0s,0s,0%,,Caspar,,,,,,31-08-12 09:00,,,0,,
9.2,Landal Kidsspecial BE - Redesign,27-08-12 09:00,28-08-12 17:00,2d,2d,0%,,Caspar,,,,,,31-08-12 09:00,,,0,,
9.3,Landal Kidsspecial BE - Feedback Landal Ronde 1,29-08-12 09:00,29-08-12 09:00,0s,0s,0%,,Caspar,,,,,,31-08-12 09:00,,,0,,
9.4,Landal Kidsspecial BE - Finale oplevering,30-08-12 09:00,30-08-12 17:00,1d,1d,0%,,Caspar,,,,,30-08-12 09:00,,74,,0,,
9.5,Landal Kidsspecial BE - Feedback Landal Ronde 2,31-08-12 09:00,31-08-12 09:00,0s,0s,0%,,Caspar,,,,,,31-08-12 09:00,,,0,,
9.6,Landal Kidsspecial BE - Finale oplevering,31-08-12 09:00,31-08-12 17:00,1d,1d,0%,,Caspar,,,,,31-08-12 09:00,,,,0,,
10,Actiz - #5,20-08-12 09:00,14-09-12 10:36,3w 4d 1h 36m,1w 3d 5h 7m 12s,0%,,,,,,,20-08-12 09:00,,,,,,
10.1,Actiz - #5 - Bouw spreads,20-08-12 09:00,23-08-12 10:36,3d 1h 36m,3d 1h 36m,0%,,Martijn,,,,,,28-08-12 09:00,,,0,,
10.2,Actiz - #5 - Banners,27-08-12 09:00,29-08-12 12:12,2d 3h 12m,2d 3h 12m,0%,,Caspar,,,,,27-08-12 09:00,,,,0,,
10.3,Actiz - #5 - Extra pagina 50+ beurs,27-08-12 09:00,29-08-12 12:12,2d 3h 12m,2d 3h 12m,0%,,Caspar,,,,,27-08-12 09:00,,,,0,,
10.4,Actiz - #5 - Oplevering spreads,31-08-12 09:00,31-08-12 09:00,0s,0s,0%,,Caspar,,,,,31-08-12 09:00,,81,,0,,
10.5,Actiz - #5 - 50+ beurs Content verwerken,11-09-12 09:00,14-09-12 10:36,3d 1h 36m,5h 7m 12s,0%,,Dylan {20% of 100%},,,,,11-09-12 09:00,,83,,0,,
11,NCRV - Paperclip #5 hulp,22-08-12 09:00,30-08-12 12:12,1w 1d 3h 12m,1w 1d 3h 12m,0%,,,,,,,20-08-12 09:00,,,,,,
11.1,NCRV - Paperclip #5 hulp,22-08-12 09:00,30-08-12 12:12,1w 1d 3h 12m,3d 1h 36m,0%,,Mark {50% of 80%},,,,,22-08-12 09:00,,,,0,,
11.2,NCRV - Paperclip #5 Willem Wever Game,27-08-12 09:00,30-08-12 10:36,3d 1h 36m,3d 1h 36m,0%,,Leon,,,,,27-08-12 09:00,,,,0,,
12,Markthallen Artist Impression,26-07-12 09:00,01-08-12 15:24,4d 6h 24m,4d 6h 24m,0%,,,,,,,26-07-12 09:00,,,,,,
12.1,Markthallen Artist Impression Illustratties,26-07-12 09:00,01-08-12 15:24,4d 6h 24m,4d 6h 24m,0%,,Michel {50% of 100%}; Robin {50% of 100%},,,,,26-07-12 09:00,,,,0,,
13,Sodexo Altys Congres Mailing,13-08-12 09:00,04-09-12 09:00,3w 1d,3d 5h 7m 12s,0%,,,,,,,26-07-12 09:00,,,,,,
13.1,Sodexo - Altys - Ontwerp emailings / formulier,13-08-12 09:00,14-08-12 17:00,2d,2d,0%,,Caspar,,,,,09-08-12 09:00,,,,0,,
13.2,Sodexo - Altys - Bouw DB/Export/Forms,20-08-12 09:00,20-08-12 15:24,6h 24m,5h 7m 12s,0%,,Mark {80% of 80%},,,,,14-08-12 09:00,,92,,0,,
13.3,Sodexo - Altys - Bouw HTML emailings,20-08-12 09:00,20-08-12 17:00,1d,1d,0%,,Caspar,,,,,20-08-12 09:00,,,,0,,
13.4,Sodexo - Altys - Versturen mailings - Uitnodiging,23-08-12 09:00,23-08-12 09:00,0s,0s,0%,,Caspar,,,,,23-08-12 09:00,,93,,0,,
13.5,Sodexo - Altys - Versturen mailings - Reminder,04-09-12 09:00,04-09-12 09:00,0s,0s,0%,,Caspar,,,,,04-09-12 09:00,,95,,0,,
14,Sodexo Altys - HTML Kpn template aanpassingen,26-07-12 09:00,26-07-12 13:00,4h,2h,0%,,Caspar {50% of 100%},,,,,26-07-12 09:00,,,,0,,
15,Sodexo - Gusto Flits,07-09-12 09:00,19-09-12 10:36,1w 3d 1h 36m,4d 6h 24m,0%,,,,,,,22-08-12 09:00,,,,,,
15.1,Sodexo - Gusto Flits - Duni (3 talen),07-09-12 09:00,12-09-12 10:36,3d 1h 36m,1d 4h 48m,0%,,Dylan {50% of 100%},,,,,27-08-12 09:00,,,,0,,
15.2,Sodexo - Gusto Flits - Lotus (optie),14-09-12 09:00,19-09-12 10:36,3d 1h 36m,1d 4h 48m,0%,,Dylan {50% of 100%},,,,,03-09-12 09:00,,,,0,,
15.3,Sodexo - Gusto Flits - Douwe Egberts,14-09-12 09:00,19-09-12 10:36,3d 1h 36m,1d 4h 48m,0%,,Dylan {50% of 100%},,,,,03-09-12 09:00,,,,0,,
16,Zorgboog - #2,01-10-12 09:00,06-11-12 09:00,1mo 1w 1d,3d 3h 12m,0%,,,,,,,01-10-12 09:00,,,,,,
16.1,Zorgboog - #2 - Design Memory,01-10-12 09:00,02-10-12 13:48,1d 4h 48m,6h 24m,0%,,Michel {50% of 100%},,,,,,28-08-12 09:00,,,0,,
16.2,Zorgboog - #2 - Bouw Memy,08-10-12 09:00,09-10-12 13:48,1d 4h 48m,6h 24m,0%,,Leon {50% of 100%},,,,,,28-08-12 09:00,,,0,,
16.3,Zorgboog - #2 - Bouw spreads,01-10-12 09:00,01-10-12 15:24,6h 24m,6h 24m,0%,,Dylan,,,,,,28-08-12 09:00,,,0,,
16.4,Zorgboog - #2 - Controle magazine,12-10-12 09:00,12-10-12 15:24,6h 24m,1h 36m,0%,,Dylan {25% of 100%},,,,,12-10-12 09:00,,105,,0,,
16.5,Zorgboog - #2 - Verwerken 1e Feedback,22-10-12 09:00,23-10-12 13:48,1d 4h 48m,3h 12m,0%,,Dylan {25% of 100%},,,,,,26-10-12 09:00,106,,0,,
16.6,Zorgboog - #2 - Verwerken 2e Feedback,29-10-12 09:00,30-10-12 13:48,1d 4h 48m,3h 12m,0%,,Dylan {25% of 100%},,,,,29-10-12 09:00,,107,,0,,
16.7,Zorgboog - #2 - Live,06-11-12 09:00,06-11-12 09:00,0s,0s,0%,,Dylan {25% of 100%},,,,,06-11-12 09:00,,108,,0,,
17,McCain - Campagne 2013,20-08-12 09:00,15-02-13 17:00,6mo 2w,4mo 5h 36m,0%,,,,,,,,,,,,,
17.1,McCain - Presentatie,20-08-12 09:00,11-09-12 09:00,3w 1d,1w 1d 1h 36m,0%,,,,,,,20-08-12 09:00,,,,,,
17.1.1,McCain - Presentatie - Propositie uitwerken,20-08-12 09:00,20-08-12 17:00,1d,1d,0%,,Vincent,,,,,20-08-12 09:00,,,,0,,
17.1.2,McCain - Presentatie - Feedback McCain Propositie,22-08-12 09:00,22-08-12 09:00,0s,0s,0%,,Vincent,,,,,22-08-12 09:00,,112,,0,,
17.1.3,McCain - Presentatie - Propositie feedback verwerken,22-08-12 09:00,22-08-12 17:00,1d,1d,0%,,Vincent,,,,,22-08-12 09:00,,113,,0,,
17.1.4,McCain - Presentatie - Akkoord Propositie McCain,24-08-12 09:00,24-08-12 09:00,0s,0s,0%,,Vincent,,,,,24-08-12 09:00,,114,,0,,
17.1.5,McCain - Presentatie - Concept ontwerp Fase 1,27-08-12 09:00,27-08-12 15:24,6h 24m,6h 24m,0%,,Vincent,,,,,27-08-12 09:00,,115,,0,,
17.1.6,McCain - Presentatie - Intern Art Direction Fase 1,29-08-12 09:00,29-08-12 17:00,1d,1d,0%,,Vincent,,,,,29-08-12 09:00,,116,,0,,
17.1.7,McCain - Presentatie - Feedback McCain 1e Concept,30-08-12 09:00,30-08-12 09:00,0s,0s,0%,,Vincent,,,,,30-08-12 09:00,,117,,0,,
17.1.8,McCain - Presentatie - Concept Feedback verwerken,31-08-12 09:00,03-09-12 13:48,1d 4h 48m,6h 24m,0%,,Vincent {50% of 100%},,,,,31-08-12 09:00,,118,,0,,
17.1.9,McCain - Presentatie - Akkoord McCain Concept,04-09-12 09:00,04-09-12 09:00,0s,0s,0%,,Vincent,,,,,04-09-12 09:00,,119,,0,,
17.1.10,McCain - Presentatie - Detail ontwerp Presentatie,05-09-12 09:00,07-09-12 12:12,2d 3h 12m,1d 1h 36m,0%,,Vincent {50% of 100%},,,,,05-09-12 09:00,,120,,0,,
17.1.11,McCain - Presentatie - Feedback McCain Detail ontwerp,10-09-12 09:00,10-09-12 09:00,0s,0s,0%,,Vincent,,,,,10-09-12 09:00,,121,,0,,
17.1.12,McCain - Presentatie - Feedback verwerken Detail ontwerp Presentatie,10-09-12 09:00,10-09-12 15:24,6h 24m,3h 12m,0%,,Vincent {50% of 100%},,,,,10-09-12 09:00,,122,,0,,
17.1.13,McCain - Presentatie - Goedkeuring Ontwerp Presentatie,11-09-12 09:00,11-09-12 09:00,0s,0s,0%,,Vincent,,,,,11-09-12 09:00,,123,,0,,
17.2,McCain - Campagne Site,17-09-12 09:00,19-11-12 09:00,2mo 1w,1mo 1w 3d 4h,0%,,,,,,,20-08-12 09:00,,,,,,
17.2.1,McCain - Campagne Site - Brainstorm Concept,17-09-12 09:00,17-09-12 14:00,5h,4h,0%,,Mark {80% of 80%},,,,,17-09-12 09:00,,,,0,,
17.2.2,McCain - Campagne Site - Ontwerp Functioneel Ontwerp / IxD,19-09-12 09:00,20-09-12 11:00,1d 2h,1d,0%,,Mark {80% of 80%},,,,,19-09-12 09:00,,126,,0,,
17.2.3,McCain - Campagne Site - Feedback Functioneel Ontwerp / IxD,21-09-12 09:00,21-09-12 09:00,0s,0s,0%,,Mark {80% of 80%},,,,,21-09-12 09:00,,127,,0,,
17.2.4,McCain - Campagne Site - Feedback verwerken Functioneel Ontwerp / IxD,24-09-12 09:00,25-09-12 11:00,1d 2h,1d,0%,,Mark {80% of 80%},,,,,24-09-12 09:00,,128,,0,,
17.2.5,McCain - Campagne Site - Concept ontwerp Fase 1,26-09-12 09:00,28-09-12 17:00,3d,3d,0%,,Michel {50% of 100%}; Robin {50% of 100%},,,,,26-09-12 09:00,,129,,0,,
17.2.6,McCain - Campagne Site - Intern Art-Direction Ronde Fase 1,02-10-12 09:00,02-10-12 17:00,1d,1d,0%,,Michel {50% of 100%}; Robin {50% of 100%},,,,,02-10-12 09:00,,130,,0,,
17.2.7,McCain - Campagne Site - Feedback Concept ontwerp Fase 1,03-10-12 09:00,03-10-12 09:00,0s,0s,0%,,Michel; Robin,,,,,03-10-12 09:00,,131,,0,,
17.2.8,McCain - Campagne Site - Concept ontwerp Fase 2,04-10-12 09:00,05-10-12 17:00,2d,2d,0%,,Michel {50% of 100%}; Robin {50% of 100%},,,,,04-10-12 09:00,,132,,0,,
17.2.9,McCain - Campagne Site - Intern Art-Direction Ronde Fase 2,09-10-12 09:00,09-10-12 17:00,1d,1d,0%,,Michel {50% of 100%}; Robin {50% of 100%},,,,,09-10-12 09:00,,133,,0,,
17.2.10,McCain - Campagne Site - Goedkeuring Concept,10-10-12 09:00,10-10-12 09:00,0s,0s,0%,,Michel; Robin,,,,,10-10-12 09:00,,134,,0,,
17.2.11,McCain - Campagne Site - Detail ontwerp Fase 1,11-10-12 09:00,16-10-12 17:00,4d,4d,0%,,Michel {50% of 100%}; Robin {50% of 100%},,,,,11-10-12 09:00,,135,,0,,
17.2.12,McCain - Campagne Site - Intern Art-Direction Ronde Fase 1,18-10-12 09:00,18-10-12 17:00,1d,1d,0%,,Michel {50% of 100%}; Robin {50% of 100%},,,,,18-10-12 09:00,,136,,0,,
17.2.13,McCain - Campagne Site - Feedback Detail ontwerp,19-10-12 09:00,19-10-12 09:00,0s,0s,0%,,Michel; Robin,,,,,19-10-12 09:00,,137,,0,,
17.2.14,McCain - Campagne Site - Detail ontwerp Fase 2,22-10-12 09:00,24-10-12 17:00,3d,3d,0%,,Michel {50% of 100%}; Robin {50% of 100%},,,,,22-10-12 09:00,,138,,0,,
17.2.15,McCain - Campagne Site - Intern Art-Direction Ronde Fase 2,25-10-12 09:00,25-10-12 17:00,1d,1d,0%,,Michel {50% of 100%}; Robin {50% of 100%},,,,,25-10-12 09:00,,139,,0,,
17.2.16,McCain - Campagne Site - Goedkeuring Design,26-10-12 09:00,26-10-12 09:00,0s,0s,0%,,Michel; Robin,,,,,26-10-12 09:00,,140,,0,,
17.2.17,McCain - Campagne Site - Ontwikkeling Fase 1,29-10-12 09:00,31-10-12 13:00,2d 4h,2d,0%,,Mark {80% of 80%},,,,,29-10-12 09:00,,141,,0,,
17.2.18,McCain - Campagne Site - Intern - Test moment Fase 1,31-10-12 13:00,01-11-12 15:00,1d 2h,1d,0%,,Mark {80% of 80%},,,,,31-10-12 09:00,,142,,0,,
17.2.19,McCain - Campagne Site - Ontwikkeling Fase 2,01-11-12 15:00,06-11-12 11:00,2d 4h,2d,0%,,Mark {80% of 80%},,,,,01-11-12 09:00,,143,,0,,
